repeat,W,J,K,I,H,G,A,B,D,C,F,E
run1,-8.5707,-7.1471,-5.616,-18.0566,-10.7854,-16.0272,-8.5224,-18.2128,-14.8826,-19.5468,-22.4148,-25.6208
run2,-10.2062,-9.0633,-6.0611,-13.4828,-14.2348,-18.3359,-9.7837,-13.118,-15.3986,-21.4824,-21.9973,-24.4338
run3,-7.6688,-9.9679,-3.781,-14.6912,-9.129,-17.9813,-9.1111,-18.5462,-17.9768,-20.5444,-19.5391,-21.7925
run4,-8.6121,-9.2473,-5.6778,-19.2036,-10.6116,-17.8479,-9.8254,-17.7646,-12.0297,-20.032,-21.1246,-25.2629
run5,-9.7433,-10.6033,-6.4122,-16.5434,-12.5152,-19.7284,-10.2155,-12.8929,-13.6744,-20.8028,-21.871,-18.4456
run6,-7.648,-6.795,-5.3549,-13.0094,-8.4454,-19.0624,-9.1396,-15.1815,-16.0177,-21.9508,-20.0873,-24.2836
run7,-7.2769,-8.9532,-5.4882,-17.7529,-11.8264,-16.7591,-8.3178,-13.6621,-14.4469,-21.6485,-19.4209,-19.2603
run8,-11.9099,-6.2037,-5.9421,-18.4583,-12.0985,-13.473,-5.5391,-15.9229,-16.4707,-20.0172,-22.1519,-21.4874
run9,-9.0742,-8.9663,-3.8366,-19.7599,-7.3151,-21.4738,-5.0262,-17.4556,-18.1958,-21.2949,-20.8971,-19.904
run10,-8.8731,-7.9476,-7.5422,-14.6936,-14.3643,-19.0469,-9.22,-17.3678,-13.5504,-19.644,-19.8041,-20.159